DATE,POILBREUSDM
6/1/2017,47.65272727
7/1/2017,49.25333333
8/1/2017,51.92782609
9/1/2017,55.55761905
10/1/2017,57.53636364
11/1/2017,62.83636364
12/1/2017,64.06428571
1/1/2018,68.88913043
2/1/2018,65.6965
3/1/2018,66.89181818
4/1/2018,71.93285714
5/1/2018,76.93434783
6/1/2018,75.80285714
7/1/2018,75.22909091
8/1/2018,73.85130435
9/1/2018,79.163
10/1/2018,80.78347826
11/1/2018,66.22863636
12/1/2018,57.94809524
1/1/2019,59.94478261
2/1/2019,64.384
3/1/2019,66.94190476
4/1/2019,71.47590909
5/1/2019,70.38913043
6/1/2019,63.2085
7/1/2019,64.32217391
8/1/2019,59.61818182
9/1/2019,62.43095238
10/1/2019,59.63130435
11/1/2019,62.68666667
12/1/2019,65.34818182
1/1/2020,63.89869565
2/1/2020,55.691
3/1/2020,33.94727273
4/1/2020,26.84863636
5/1/2020,32.42238095
6/1/2020,40.86045455
7/1/2020,43.29565217
8/1/2020,45.08142857
9/1/2020,41.92681818
10/1/2020,41.60681818
11/1/2020,44.05
12/1/2020,50.37695652
1/1/2021,55.2247619
2/1/2021,62.3625
3/1/2021,65.79608696
4/1/2021,65.53181818
5/1/2021,68.3752381
6/1/2021,73.51272727
7/1/2021,74.40318182
8/1/2021,70.58818182
9/1/2021,74.74954545
10/1/2021,83.8652381
11/1/2021,80.89045455
12/1/2021,74.67826087
1/1/2022,85.62238095
2/1/2022,94.267
3/1/2022,112.44
4/1/2022,106.1557143
5/1/2022,112.1136364
6/1/2022,117.6927273
7/1/2022,105.2528571
8/1/2022,97.64304348
9/1/2022,90.60818182
10/1/2022,93.71857143
11/1/2022,90.93863636
12/1/2022,81.50318182
1/1/2023,84.08181818
